Photon energy density and mass density for source power P, wavelength lambda
Assumptions: path length L = 1 mm, beam cross-section 1 mm^2, so volume = 1e-9 m^3
Residence time tau = L/c = 3.3356409519815207e-12 s

Power (W) | lambda (nm) | E_photon (J) | Photon rate (s^-1) | u (J/m^3) |  rho_gamma (kg/m^3) | rho_gamma (g/cm^3)
----------------------------------------------------------------------------------------------------
1.0e-09 | 400 | 4.97e-19 | 2.01e+09 | 3.34e-12 | 3.71e-29 | 3.71e-32
1.0e-09 | 500 | 3.97e-19 | 2.52e+09 | 3.34e-12 | 3.71e-29 | 3.71e-32
1.0e-09 | 600 | 3.31e-19 | 3.02e+09 | 3.34e-12 | 3.71e-29 | 3.71e-32
1.0e-09 | 700 | 2.84e-19 | 3.52e+09 | 3.34e-12 | 3.71e-29 | 3.71e-32
1.0e-09 | 800 | 2.48e-19 | 4.03e+09 | 3.34e-12 | 3.71e-29 | 3.71e-32
1.0e-08 | 400 | 4.97e-19 | 2.01e+10 | 3.34e-11 | 3.71e-28 | 3.71e-31
1.0e-08 | 500 | 3.97e-19 | 2.52e+10 | 3.34e-11 | 3.71e-28 | 3.71e-31
1.0e-08 | 600 | 3.31e-19 | 3.02e+10 | 3.34e-11 | 3.71e-28 | 3.71e-31
1.0e-08 | 700 | 2.84e-19 | 3.52e+10 | 3.34e-11 | 3.71e-28 | 3.71e-31
1.0e-08 | 800 | 2.48e-19 | 4.03e+10 | 3.34e-11 | 3.71e-28 | 3.71e-31
1.0e-07 | 400 | 4.97e-19 | 2.01e+11 | 3.34e-10 | 3.71e-27 | 3.71e-30
1.0e-07 | 500 | 3.97e-19 | 2.52e+11 | 3.34e-10 | 3.71e-27 | 3.71e-30
1.0e-07 | 600 | 3.31e-19 | 3.02e+11 | 3.34e-10 | 3.71e-27 | 3.71e-30
1.0e-07 | 700 | 2.84e-19 | 3.52e+11 | 3.34e-10 | 3.71e-27 | 3.71e-30
1.0e-07 | 800 | 2.48e-19 | 4.03e+11 | 3.34e-10 | 3.71e-27 | 3.71e-30
1.0e-06 | 400 | 4.97e-19 | 2.01e+12 | 3.34e-09 | 3.71e-26 | 3.71e-29
1.0e-06 | 500 | 3.97e-19 | 2.52e+12 | 3.34e-09 | 3.71e-26 | 3.71e-29
1.0e-06 | 600 | 3.31e-19 | 3.02e+12 | 3.34e-09 | 3.71e-26 | 3.71e-29
1.0e-06 | 700 | 2.84e-19 | 3.52e+12 | 3.34e-09 | 3.71e-26 | 3.71e-29
1.0e-06 | 800 | 2.48e-19 | 4.03e+12 | 3.34e-09 | 3.71e-26 | 3.71e-29
1.0e-05 | 400 | 4.97e-19 | 2.01e+13 | 3.34e-08 | 3.71e-25 | 3.71e-28
1.0e-05 | 500 | 3.97e-19 | 2.52e+13 | 3.34e-08 | 3.71e-25 | 3.71e-28
1.0e-05 | 600 | 3.31e-19 | 3.02e+13 | 3.34e-08 | 3.71e-25 | 3.71e-28
1.0e-05 | 700 | 2.84e-19 | 3.52e+13 | 3.34e-08 | 3.71e-25 | 3.71e-28
1.0e-05 | 800 | 2.48e-19 | 4.03e+13 | 3.34e-08 | 3.71e-25 | 3.71e-28
1.0e-04 | 400 | 4.97e-19 | 2.01e+14 | 3.34e-07 | 3.71e-24 | 3.71e-27
1.0e-04 | 500 | 3.97e-19 | 2.52e+14 | 3.34e-07 | 3.71e-24 | 3.71e-27
1.0e-04 | 600 | 3.31e-19 | 3.02e+14 | 3.34e-07 | 3.71e-24 | 3.71e-27
1.0e-04 | 700 | 2.84e-19 | 3.52e+14 | 3.34e-07 | 3.71e-24 | 3.71e-27
1.0e-04 | 800 | 2.48e-19 | 4.03e+14 | 3.34e-07 | 3.71e-24 | 3.71e-27
1.0e-03 | 400 | 4.97e-19 | 2.01e+15 | 3.34e-06 | 3.71e-23 | 3.71e-26
1.0e-03 | 500 | 3.97e-19 | 2.52e+15 | 3.34e-06 | 3.71e-23 | 3.71e-26
1.0e-03 | 600 | 3.31e-19 | 3.02e+15 | 3.34e-06 | 3.71e-23 | 3.71e-26
1.0e-03 | 700 | 2.84e-19 | 3.52e+15 | 3.34e-06 | 3.71e-23 | 3.71e-26
1.0e-03 | 800 | 2.48e-19 | 4.03e+15 | 3.34e-06 | 3.71e-23 | 3.71e-26
